course,description,level,rate,language
sustainable business enterprises,"This course will explore current challenges and opportunities facing firms in the area of environmental sustainability. It will begin with an introduction to sustainability, with a particular focus on how environmental sustainability is relevant to business. Topics such as unsustainable consumption/consumer behavior, market research sustainable product design, sustainable value chains and communications will be covered. The bottom-up approach in terms of immersion, emersion, and design as applied to sustainable business enterprise will be covered.  The course concludes with a summary of insights on global challenges in business, with particular focus on poverty and the environment, and on the unique approach employed here in terms of bottom-up immersion, emersion, design, innovation, and enterprise.

Upon successful completion of this course you will be able to:
•	Understand the importance of sustainability for business  
•	Learn about specific topics consumer behavior, market research, product design, value chains and communications using the sustainability lens in business  
•	Design solutions and develop enterprise plans for sustainable business initiatives 
•	Apply the bottom-up approach for sustainable business initiatives in any context

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Mixed Level,4.5,English
excel skills for business: essentials,"In this first course of the specialization Excel Skills for Business you will learn the Essentials of Microsoft Excel. Within six weeks, you will learn to expertly navigate the Excel user interface, perform basic calculations with formulas and functions, professionally format spreadsheets, and create visualizations of data through charts and graphs.

Whether you are self-taught and want to fill in the gaps for better efficiency and productivity, or whether you have never used Excel before, this course will set you up with a solid foundation to become a confident user and develop more advanced skills in later courses. 

We have brought together a great teaching team that will be with you every step of the way. A broad range of practice quizzes and challenges will provide great opportunities to build up your skillset. Work through each new challenge with our team and in no time you will surprise yourself with how far you have come. 

Spreadsheet software is one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. At a time when digital skills jobs are growing much faster than non-digital jobs, make sure to position yourself ahead of the rest by adding Excel skills to your employment portfolio.",Mixed Level,4.9,English
business strategy,"In this course you will learn how organizations create, capture, and maintain value, and how it is fundamental for sustainable competitive advantage. You will be able to better understand value creation and capture, and learn the tools to analyze both competition and cooperation from a variety of perspectives, including the industry level (e.g., five forces analysis), and the firm level (e.g., business models and strategic positioning). 

•	Understand how managers coordinate different functional areas, resources, and systems inside a company and align them with the external environment to enhance overall performance
•	Knowledge of strategic management tools and frameworks, and apply them to real business contexts Process diverse business and industry information to diagnose strategic issues, evaluate strategic alternatives, and formulate a coherent and actionable strategic plan
•	How to think like a CEO, entrepreneur, or general manager.

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Mixed Level,4.8,English
Exploring and Producing Data for Business Decision Making,"This course provides an analytical framework to help you evaluate key problems in a structured fashion and will equip you with tools to better manage the uncertainties that pervade and complicate business processes. Specifically, you will be introduced to statistics and how to summarize data and learn concepts of frequency, normal distribution, statistical studies, sampling, and confidence intervals. While you will be introduced to some of the science of what is being taught, the focus will be on applying the methodologies. This will be accomplished through the use of Excel and data sets from many different disciplines, allowing you to see the use of statistics in very diverse settings. The course will focus not only on explaining these concepts, but also understanding the meaning of the results obtained. Upon successful completion of this course, you will be able to: • Summarize large data sets in graphical, tabular, and numerical forms. • Understand the significance of proper sampling and why you can rely on sample information. • Understand why normal distribution can be used in so many settings. • Use sample information to infer about the population with a certain level of confidence about the accuracy of the estimations. • Use Excel for statistical analysis. This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Beginner Level,4.8,English
"Brand Management: Aligning Business, Brand and Behaviour","Professor Nader Tavassoli of London Business School contrasts traditional approaches to branding - where brands are a visual identity and a promise to customers - to brands as a customer experience delivered by the entire organisation. The course offers a brand workout for your own brands, as well as guest videos from leading branding professionals. The aim of the course is to change the conception of brands as being an organisation's visual identity (e.g., logo) and image (customers' brand associations) to an experience along ""moments-that-matter"" along the customer journey and, therefore, delivered by people across the entire organisation. Brands are thus not only an external promise to customers, but a means of executing business strategy via internal brand-led behaviour and culture change. You will learn and practice the following skills: 1. How to build brands from a broad organisational perspective 2. How to lead brand-led culture change with human resource practices at the core (i.e., brand as a lever and not just an outcome) 3. How to build brands in multi-brand companies, across cultures and geographies 4. How to measure brand health in new ways, that is, internally in addition to externally 5. How to value and capture returns to brands across the organisation - introducing the new concept of employee-based brand equity - and how this is different from the valuation of brands as intangible assets. This course allows you to develop the following aspects of yourself: 1. Head. Gain a deeper understanding of the evolving practice of brand management, one that goes further than practiced in most organisations today 2. Heart. Be motivated to engage in delivering your own brands – regardless of where you are in your organisation – thereby creating superior value for customers and for your organisation 3. Hands. Translate learnings into action. As Confucius is supposed to have said: “I hear and I forget. I see and I remember. I do and I understand.”",Beginner Level,4.9,English
excel skills for business: intermediate i,"Spreadsheet software remains one of the most ubiquitous pieces of software used in workplaces across the world. Learning to confidently operate this software means adding a highly valuable asset to your employability portfolio. In the United States alone, millions of job advertisements requiring Excel skills are posted every day. Research by Burning Glass Technologies and Capital One shows that digitals skills lead to higher income and better employment opportunities at a time when digital skills job are growing much faster than non-digital jobs.

In this second course of our Excel specialization Excel Skills for Business you will build on the strong foundations of the Essentials course. Intermediate Skills I will expand your Excel knowledge to new horizons. You are going to discover a whole range of skills and techniques that will become a standard component of your everyday use of Excel. In this course, you will build a solid layer of more advanced skills so you can manage large datasets and create meaningful reports. These key techniques and tools will allow you to add a sophisticated layer of automation and efficiency to your everyday tasks in Excel.

Once again, we have brought together a great teaching team that will be with you every step of the way. Prashan and Nicky will guide you through each week (and I am even going to make a guest appearance in Week 5 to help you learn about my favourite tool in Excel - shh, no spoilers!). Work through each new challenge step-by-step and in no time you will surprise yourself by how far you have come. This time around, we are going to follow Uma's trials and tribulations as she is trying to find her feet in a new position in the fictitious company PushPin. For those of you who have done the Essentials course, you will already be familiar with the company. Working through her challenges which are all too common ones that we encounter everyday, will help you to more easily relate to the skills and techniques learned in each week and apply them to familiar and new contexts.",Intermediate Level,4.9,English
digital business models,"Digital business models are disrupting 50-year old companies in telecommunications, transportation, advertising, e-commerce, automotive, insurance and many other industries. This course will explore the business models of software disruptors of the west such as Apple, Google, Facebook and Amazon, and the east such as Xiaomi and weChat. The class uses a structured framework for analysing business models with numerous examples so that students can apply it to their own business or case study.
 
We will explore how software developers are not just the innovators but also the decision makers in modern competitive battles from mobile to cloud, and from consumer goods to enterprise software. And we will also explain how developers are the engine of digital business models, using examples from diverse industries – from healthcare to aviation.",Mixed Level,4.5,English
english for business and entrepreneurship,"Welcome to English for Business and Entrepreneurship, a course created by the University of Pennsylvania, and funded by the U.S. Department of State Bureau of Educational and Cultural Affairs, Office of English Language Programs. 

To enroll in this course for free, click on “Enroll now” and then select ""Full Course.  No certificate.""

This course is designed for non-native English speakers who are interested in learning more about the global business economy. In this course, you will learn about topics and language necessary to succeed in the international workplace.  You will explore business English through authentic readings and video lectures, while learning about business vocabulary, concepts, and issues. Unit 1 will provide an introduction to entrepreneurship by examining ideas, products, and opportunities. In unit 2, you will learn about the basics of market research, including how to identify an opportunity. The next unit in the course will focus on business plans, why these plans are important, and will give you a chance to practice composing a business plan. In the final unit of the course, we will present basics for funding a business and will help you create a persuasive presentation, or pitch, based on a business plan. 

Unless otherwise noted, all course materials are available for re-use, repurposing and free distribution under a Creative Commons 4.0 Attribution license.

Supplemental reading materials were provided by Newsela, which publishes daily news articles at a level that's just right for each English language learner.",Beginner Level,4.8,English
foundations of business strategy,"Develop your ability to think strategically, analyze the competitive environment, and recommend firm positioning and value creation. In this course, we will explore the underlying theory and frameworks that provide the foundations of a successful business strategy and provide the tools you need to understand that strategy: SWOT, Competitor, Environmental, Five Forces, and Capabilities Analyses, as well as Strategy Maps. We'll apply these tools in case studies of industry leaders Google, Redhook, Piaggio and Apple.",Mixed Level,4.8,English
global impact: business ethics,"Global business ethics is the study and analysis of how ethics and global business are connected. How we should treat each other and our organizations in global and local contexts is the topic of  this course.  Business ethics and corporate responsibility are inherent in global commerce. Commerce is about markets, and markets entail exchanges between people and groups of people. So commerce is about human relationships, and indeed, it could not be otherwise. 

One of the important challenges in global business is working out the extent of these obligations in the interrelationships between businesses and the particular local cultures in which that business operates. The ethical issues arising from these engagements, the kinds of values-based considerations out of which an organization negotiates with local concerns, and how an organization can be both an enabler of economic value-added while respecting cultural differences will be topics of this course. 

Upon successful completion of this course you will be able to: 
•	Become morally sensitive to ethical dilemmas in global commerce 
•	Identify ethical issues in global business  
•	Master stakeholder analysis  
•	Address issues from more than one point of view 
•	Use a well-reasoned process by which to arrive at ethically-defensible decisions 
•	Evaluate good and weak arguments 
•	Defend your conclusions  

This course is part of the iMBA offered by the University of Illinois, a flexible, fully-accredited online MBA at an incredibly competitive price. For more information, please see the Resource page in this course and onlinemba.illinois.edu.",Intermediate Level,4.8,English
